"orderid","userid","status","orderdate","subtotal","modifydate"
"10000517","264652","0","2017/4/30","122","2017/4/30"
"10000518","151566","0","2017/4/27","235","2017/4/27"
"10000519","29977","1","2017/5/7","225","2017/5/7"
"10000520","12777","0","2017/6/25","289","2017/6/25"
"10000521","199083","1","2017/4/2","136","2017/4/2"
"10000522","88376","1","2017/4/7","51","2017/4/7"
"10000523","185584","2","2017/4/30","177","2017/4/30"
"10000524","55525","0","2017/4/19","324","2017/4/19"
"10000525","198560","2","2017/6/1","138","2017/6/1"
"10000526","150945","0","2017/6/1","203","2017/6/1"
"10000527","200015","0","2017/6/10","110","2017/6/10"
"10000528","144217","2","2017/5/1","179","2017/5/1"
"10000529","277595","1","2017/5/13","80","2017/5/13"
"10000530","128070","2","2017/4/11","80","2017/4/11"
"10000531","115180","2","2017/6/23","111","2017/6/23"
"10000532","204552","2","2017/4/12","66","2017/4/12"
"10000533","268238","0","2017/4/3","115","2017/4/3"
"10000534","165310","1","2017/6/22","247","2017/6/22"
"10000535","188222","2","2017/4/23","291","2017/4/23"
"10000536","77900","2","2017/5/26","300","2017/5/26"
"10000537","132593","0","2017/5/15","136","2017/5/15"
"10000538","258363","2","2017/5/25","254","2017/5/25"
"10000539","252709","2","2017/5/10","104","2017/5/10"
"10000540","186575","1","2017/5/29","315","2017/5/29"
"10000541","98645","2","2017/4/19","68","2017/4/19"
"10000542","247144","0","2017/5/13","129","2017/5/13"
"10000543","106381","1","2017/6/21","259","2017/6/21"
"10000544","263552","2","2017/5/4","98","2017/5/4"
"10000545","3339","2","2017/5/10","120","2017/5/10"
"10000546","136371","0","2017/6/13","125","2017/6/13"
"10000547","96730","2","2017/4/17","240","2017/4/17"
"10000548","57304","2","2017/5/25","180","2017/5/25"
"10000549","149783","0","2017/5/14","247","2017/5/14"
"10000550","118208","0","2017/4/3","265","2017/4/3"
"10000551","219594","0","2017/4/29","359","2017/4/29"
"10000552","237215","1","2017/6/3","187","2017/6/3"
"10000553","90393","0","2017/6/4","146","2017/6/4"
"10000554","227835","1","2017/5/10","169","2017/5/10"
"10000555","130879","2","2017/4/3","321","2017/4/3"
"10000556","118441","0","2017/4/15","285","2017/4/15"
"10000557","115665","0","2017/4/25","263","2017/4/25"
"10000558","204563","0","2017/6/28","114","2017/6/28"
"10000559","23537","2","2017/4/4","153","2017/4/4"
"10000560","207253","2","2017/6/21","207","2017/6/21"
"10000561","50540","2","2017/6/22","135","2017/6/22"
"10000562","171798","0","2017/6/9","360","2017/6/9"
"10000563","15153","0","2017/6/1","289","2017/6/1"
"10000564","241767","0","2017/4/3","310","2017/4/3"
"10000565","240174","1","2017/6/11","74","2017/6/11"
"10000566","133967","2","2017/6/29","52","2017/6/29"
"10000567","181892","2","2017/4/14","126","2017/4/14"
"10000568","237524","0","2017/5/17","196","2017/5/17"
"10000569","230171","1","2017/5/4","56","2017/5/4"
"10000570","41250","2","2017/5/12","130","2017/5/12"
"10000571","175188","0","2017/6/3","195","2017/6/3"
"10000572","181697","2","2017/6/27","196","2017/6/27"
"10000573","140170","2","2017/5/26","125","2017/5/26"
"10000574","187935","0","2017/4/18","349","2017/4/18"
"10000575","222566","1","2017/4/20","290","2017/4/20"
"10000576","129258","2","2017/5/5","101","2017/5/5"
"10000577","233975","1","2017/4/3","187","2017/4/3"
"10000578","209817","2","2017/5/28","177","2017/5/28"
"10000579","65555","1","2017/5/23","134","2017/5/23"
"10000580","85696","2","2017/6/2","108","2017/6/2"
"10000581","60352","0","2017/5/29","85","2017/5/29"
"10000582","244406","1","2017/6/6","86","2017/6/6"
"10000583","162792","0","2017/6/16","220","2017/6/16"
"10000584","50147","2","2017/5/6","256","2017/5/6"
"10000585","252743","2","2017/4/2","171","2017/4/2"
"10000586","93949","1","2017/4/20","165","2017/4/20"
"10000587","150167","0","2017/5/21","112","2017/5/21"
"10000588","278843","1","2017/6/18","147","2017/6/18"
"10000589","236478","1","2017/4/15","101","2017/4/15"
"10000590","123572","0","2017/6/16","77","2017/6/16"
"10000591","35384","2","2017/4/10","146","2017/4/10"
"10000592","48840","2","2017/6/10","300","2017/6/10"
"10000593","177969","2","2017/4/6","451","2017/4/6"
"10000594","208908","1","2017/4/9","124","2017/4/9"
"10000595","79215","0","2017/5/10","168","2017/5/10"
"10000596","198569","2","2017/5/5","307","2017/5/5"
"10000597","67100","1","2017/4/28","113","2017/4/28"
"10000598","170299","0","2017/4/3","191","2017/4/3"
"10000599","147253","2","2017/4/22","310","2017/4/22"
"10000600","213629","2","2017/4/3","287","2017/4/3"
"10000601","267699","2","2017/6/6","111","2017/6/6"
"10000602","163894","2","2017/5/1","113","2017/5/1"
"10000603","263049","2","2017/6/4","135","2017/6/4"
"10000604","102514","0","2017/6/2","332","2017/6/2"
"10000605","125618","0","2017/6/11","390","2017/6/11"
"10000606","241620","1","2017/6/9","502","2017/6/9"
"10000607","27995","1","2017/4/13","368","2017/4/13"
"10000608","68953","0","2017/6/11","180","2017/6/11"
"10000609","90724","2","2017/5/5","287","2017/5/5"
"10000610","121761","2","2017/4/26","115","2017/4/26"
"10000611","97495","2","2017/5/22","185","2017/5/22"
"10000612","223867","0","2017/4/9","224","2017/4/9"
"10000613","259107","2","2017/4/13","82","2017/4/13"
"10000614","156201","2","2017/6/19","279","2017/6/19"
"10000615","134855","1","2017/5/26","253","2017/5/26"
"10000616","127105","1","2017/4/3","165","2017/4/3"
"10000617","209372","2","2017/4/16","59","2017/4/16"
"10000618","147002","1","2017/4/12","330","2017/4/12"
"10000619","100079","0","2017/4/25","125","2017/4/25"
"10000620","114939","2","2017/5/7","359","2017/5/7"
"10000621","241567","1","2017/5/13","196","2017/5/13"
"10000622","189050","1","2017/5/3","365","2017/5/3"
"10000623","273824","2","2017/5/14","113","2017/5/14"
"10000624","68240","0","2017/6/14","66","2017/6/14"
"10000625","168514","0","2017/5/19","114","2017/5/19"
"10000626","173507","0","2017/4/16","60","2017/4/16"
"10000627","246139","2","2017/5/6","69","2017/5/6"
"10000628","7304","1","2017/6/4","112","2017/6/4"
"10000629","248121","1","2017/6/10","113","2017/6/10"
"10000630","142748","2","2017/5/3","150","2017/5/3"
"10000631","3959","1","2017/6/14","189","2017/6/14"
"10000632","226718","0","2017/4/23","179","2017/4/23"
"10000633","43636","1","2017/6/20","362","2017/6/20"
"10000634","224586","0","2017/5/20","342","2017/5/20"
"10000635","39607","1","2017/4/25","185","2017/4/25"
"10000636","246372","2","2017/4/3","115","2017/4/3"
"10000637","32079","2","2017/6/20","179","2017/6/20"
"10000638","210208","2","2017/5/28","72","2017/5/28"
"10000639","196788","2","2017/5/22","74","2017/5/22"
"10000640","115319","2","2017/4/12","169","2017/4/12"
"10000641","70854","2","2017/4/23","476","2017/4/23"
"10000642","245611","2","2017/4/4","383","2017/4/4"
"10000643","16974","1","2017/6/25","50","2017/6/25"
"10000644","98844","2","2017/6/22","198","2017/6/22"
"10000645","78826","2","2017/4/29","182","2017/4/29"
"10000646","199244","1","2017/5/14","52","2017/5/14"
"10000647","102731","2","2017/5/5","403","2017/5/5"
"10000648","159588","0","2017/4/4","304","2017/4/4"
"10000649","1526","2","2017/4/12","287","2017/4/12"
"10000650","124502","2","2017/4/28","143","2017/4/28"
"10000651","166013","0","2017/6/18","124","2017/6/18"
"10000652","187004","2","2017/4/12","174","2017/4/12"
"10000653","53500","1","2017/5/13","77","2017/5/13"
"10000654","112161","1","2017/4/13","115","2017/4/13"
"10000655","145741","2","2017/5/8","198","2017/5/8"
"10000656","188201","2","2017/6/2","185","2017/6/2"
"10000657","171771","2","2017/5/12","166","2017/5/12"
"10000658","249255","2","2017/6/28","393","2017/6/28"
"10000659","223791","0","2017/5/30","163","2017/5/30"
"10000660","160447","1","2017/6/6","236","2017/6/6"
"10000661","187718","0","2017/5/31","149","2017/5/31"
"10000662","17048","2","2017/5/3","349","2017/5/3"
"10000663","77025","1","2017/4/6","135","2017/4/6"
"10000664","48118","0","2017/4/17","327","2017/4/17"
"10000665","97799","2","2017/4/22","66","2017/4/22"
"10000666","10125","0","2017/5/15","218","2017/5/15"
"10000667","244379","0","2017/6/24","83","2017/6/24"
"10000668","88270","2","2017/5/9","141","2017/5/9"
"10000669","81868","2","2017/5/19","487","2017/5/19"
"10000670","7349","2","2017/6/14","316","2017/6/14"
"10000671","141386","1","2017/4/3","327","2017/4/3"
"10000672","133977","2","2017/4/6","146","2017/4/6"
"10000673","238540","0","2017/6/19","259","2017/6/19"
"10000674","211675","0","2017/5/4","176","2017/5/4"
"10000675","144742","2","2017/6/25","113","2017/6/25"
"10000676","59421","1","2017/6/19","354","2017/6/19"
"10000677","219222","2","2017/6/13","304","2017/6/13"
"10000678","148264","2","2017/4/29","323","2017/4/29"
"10000679","118877","2","2017/6/9","144","2017/6/9"
"10000680","5257","1","2017/6/26","343","2017/6/26"
"10000681","185731","2","2017/5/16","204","2017/5/16"
"10000682","226839","0","2017/5/20","185","2017/5/20"
"10000683","94385","2","2017/4/15","243","2017/4/15"
"10000684","137558","2","2017/4/14","168","2017/4/14"
"10000685","273457","2","2017/5/10","220","2017/5/10"
"10000686","261818","2","2017/4/18","294","2017/4/18"
"10000687","75165","0","2017/6/27","108","2017/6/27"
"10000688","128302","1","2017/4/2","98","2017/4/2"
"10000689","88763","2","2017/6/8","138","2017/6/8"
"10000690","505","2","2017/4/26","182","2017/4/26"
"10000691","250688","0","2017/6/9","176","2017/6/9"
"10000692","60682","1","2017/4/2","101","2017/4/2"
"10000693","175387","0","2017/4/23","86","2017/4/23"
"10000694","196212","2","2017/6/16","222","2017/6/16"
"10000695","272519","2","2017/5/7","364","2017/5/7"
"10000696","76652","2","2017/4/12","255","2017/4/12"
"10000697","259701","0","2017/4/6","117","2017/4/6"
"10000698","242653","2","2017/5/3","134","2017/5/3"
"10000699","227409","0","2017/6/29","234","2017/6/29"
"10000700","79048","1","2017/5/23","131","2017/5/23"
"10000701","199600","2","2017/6/25","111","2017/6/25"
"10000702","230133","2","2017/5/26","50","2017/5/26"
"10000703","261000","1","2017/4/24","167","2017/4/24"
"10000704","222686","1","2017/4/8","123","2017/4/8"
"10000705","57271","2","2017/5/2","194","2017/5/2"
"10000706","163507","1","2017/4/30","107","2017/4/30"
"10000707","275870","2","2017/5/29","275","2017/5/29"
"10000708","179058","2","2017/4/29","187","2017/4/29"
"10000709","64106","2","2017/4/26","129","2017/4/26"
"10000710","217849","2","2017/6/28","150","2017/6/28"
"10000711","3902","0","2017/6/14","60","2017/6/14"
"10000712","185005","2","2017/6/6","312","2017/6/6"
"10000713","33352","2","2017/4/28","107","2017/4/28"
"10000714","263718","1","2017/6/8","333","2017/6/8"
"10000715","160043","2","2017/5/20","113","2017/5/20"
"10000716","187871","2","2017/6/26","114","2017/6/26"
"10000717","186386","2","2017/4/6","135","2017/4/6"
"10000718","103807","0","2017/6/26","229","2017/6/26"
"10000719","245645","0","2017/6/3","284","2017/6/3"
"10000720","52144","1","2017/4/6","158","2017/4/6"
"10000721","162427","2","2017/6/1","101","2017/6/1"
"10000722","126491","1","2017/6/10","74","2017/6/10"
"10000723","163828","0","2017/5/22","304","2017/5/22"
"10000724","191995","0","2017/4/2","88","2017/4/2"
"10000725","251958","1","2017/4/28","201","2017/4/28"
"10000726","164363","0","2017/4/10","222","2017/4/10"
"10000727","100126","2","2017/5/28","291","2017/5/28"
"10000728","18415","0","2017/4/18","58","2017/4/18"
"10000729","143602","2","2017/6/4","244","2017/6/4"
"10000730","33402","2","2017/5/31","166","2017/5/31"
"10000731","139178","1","2017/6/16","157","2017/6/16"
"10000732","31620","0","2017/4/21","82","2017/4/21"
"10000733","162629","2","2017/6/14","167","2017/6/14"
"10000734","58235","2","2017/6/9","221","2017/6/9"
"10000735","258909","2","2017/6/25","448","2017/6/25"
"10000736","204803","1","2017/5/2","279","2017/5/2"
"10000737","148023","1","2017/6/9","224","2017/6/9"
"10000738","261251","2","2017/6/20","332","2017/6/20"
"10000739","184708","1","2017/6/30","83","2017/6/30"
"10000740","12549","0","2017/5/26","258","2017/5/26"
"10000741","56295","2","2017/5/18","185","2017/5/18"
"10000742","35644","2","2017/6/19","325","2017/6/19"
"10000743","87758","2","2017/6/9","210","2017/6/9"
"10000744","128756","2","2017/4/5","94","2017/4/5"
"10000745","151653","0","2017/4/18","274","2017/4/18"
"10000746","218365","2","2017/6/23","324","2017/6/23"
"10000747","1103","2","2017/5/25","114","2017/5/25"
"10000748","246005","2","2017/5/1","139","2017/5/1"
"10000749","264912","1","2017/5/18","95","2017/5/18"
"10000750","45685","0","2017/5/4","251","2017/5/4"
"10000751","125307","2","2017/4/30","121","2017/4/30"
"10000752","86803","0","2017/4/20","101","2017/4/20"
"10000753","17834","2","2017/4/13","395","2017/4/13"
"10000754","42988","0","2017/6/27","467","2017/6/27"
"10000755","261200","2","2017/6/29","101","2017/6/29"
"10000756","14078","0","2017/6/26","291","2017/6/26"
"10000757","254640","1","2017/6/3","173","2017/6/3"
"10000758","246478","2","2017/4/9","296","2017/4/9"
"10000759","72124","0","2017/5/15","156","2017/5/15"
"10000760","211538","1","2017/6/5","481","2017/6/5"
"10000761","57226","2","2017/5/25","360","2017/5/25"
"10000762","89278","2","2017/4/6","231","2017/4/6"
"10000763","233392","0","2017/4/10","252","2017/4/10"
"10000764","74692","2","2017/6/7","56","2017/6/7"
"10000765","149637","2","2017/6/4","206","2017/6/4"
"10000766","186792","0","2017/4/15","88","2017/4/15"
"10000767","38603","2","2017/6/15","272","2017/6/15"
"10000768","22486","2","2017/6/26","50","2017/6/26"
"10000769","233592","0","2017/4/27","94","2017/4/27"
"10000770","94469","0","2017/4/25","195","2017/4/25"
"10000771","61522","0","2017/5/25","161","2017/5/25"
"10000772","169599","2","2017/4/24","150","2017/4/24"
"10000773","75536","2","2017/6/22","138","2017/6/22"
"10000774","265496","2","2017/4/16","338","2017/4/16"
"10000775","109188","0","2017/4/8","299","2017/4/8"
"10000776","120313","1","2017/5/13","226","2017/5/13"
"10000777","135236","2","2017/6/17","466","2017/6/17"
"10000778","26929","0","2017/4/8","253","2017/4/8"
"10000779","98717","2","2017/4/21","132","2017/4/21"
"10000780","274036","0","2017/4/15","109","2017/4/15"
"10000781","30438","0","2017/4/16","114","2017/4/16"
"10000782","64663","2","2017/5/13","418","2017/5/13"
"10000783","143191","1","2017/6/29","318","2017/6/29"
"10000784","216596","2","2017/4/16","108","2017/4/16"
"10000785","136264","2","2017/4/18","165","2017/4/18"
"10000786","187283","1","2017/4/27","119","2017/4/27"
"10000787","168371","0","2017/5/3","129","2017/5/3"
"10000788","147197","1","2017/4/12","368","2017/4/12"
"10000789","9759","2","2017/6/14","319","2017/6/14"
"10000790","264436","0","2017/5/9","370","2017/5/9"
"10000791","169079","2","2017/5/2","267","2017/5/2"
"10000792","25861","2","2017/6/18","125","2017/6/18"
"10000793","215943","2","2017/5/13","126","2017/5/13"
"10000794","229828","1","2017/6/29","203","2017/6/29"
"10000795","223525","1","2017/5/19","435","2017/5/19"
"10000796","201681","2","2017/4/25","335","2017/4/25"
"10000797","5983","2","2017/5/3","285","2017/5/3"
"10000798","54644","1","2017/5/25","365","2017/5/25"
"10000799","269790","2","2017/5/7","309","2017/5/7"
"10000800","261999","1","2017/6/19","114","2017/6/19"
"10000801","80110","2","2017/5/5","453","2017/5/5"
"10000802","258584","0","2017/4/17","244","2017/4/17"
"10000803","132942","0","2017/4/21","261","2017/4/21"
"10000804","165152","2","2017/6/21","287","2017/6/21"
"10000805","94359","2","2017/4/29","355","2017/4/29"
"10000806","151304","2","2017/5/24","126","2017/5/24"
"10000807","201267","1","2017/6/5","94","2017/6/5"
"10000808","96368","2","2017/4/21","218","2017/4/21"
"10000809","249739","2","2017/5/10","75","2017/5/10"
"10000810","142932","2","2017/5/2","225","2017/5/2"
"10000811","243718","1","2017/4/19","108","2017/4/19"
"10000812","169020","1","2017/4/28","241","2017/4/28"
"10000813","98967","2","2017/4/16","213","2017/4/16"
"10000814","228838","2","2017/6/13","395","2017/6/13"
"10000815","258899","2","2017/5/8","104","2017/5/8"
"10000816","241823","0","2017/5/14","478","2017/5/14"
"10000817","46800","0","2017/6/3","224","2017/6/3"
"10000818","215324","1","2017/4/2","161","2017/4/2"
"10000819","52478","2","2017/5/26","91","2017/5/26"
"10000820","226904","1","2017/5/30","67","2017/5/30"
"10000821","267389","2","2017/6/16","146","2017/6/16"
"10000822","39106","0","2017/6/29","249","2017/6/29"
"10000823","273143","0","2017/6/11","122","2017/6/11"
"10000824","73524","1","2017/4/11","85","2017/4/11"
"10000825","255124","2","2017/5/28","401","2017/5/28"
"10000826","231746","2","2017/6/20","209","2017/6/20"
"10000827","246415","0","2017/5/22","136","2017/5/22"
"10000828","267282","2","2017/5/20","331","2017/5/20"
"10000829","85646","0","2017/5/3","226","2017/5/3"
"10000830","163012","0","2017/6/16","316","2017/6/16"
"10000831","51601","2","2017/6/28","470","2017/6/28"
"10000832","243872","2","2017/6/3","286","2017/6/3"
"10000833","222624","2","2017/4/2","293","2017/4/2"
"10000834","221455","1","2017/6/27","184","2017/6/27"
"10000835","92258","2","2017/4/27","186","2017/4/27"
"10000836","36075","1","2017/5/12","266","2017/5/12"
"10000837","194711","2","2017/4/20","150","2017/4/20"
"10000838","211857","0","2017/4/5","98","2017/4/5"
"10000839","158224","2","2017/6/23","370","2017/6/23"
"10000840","120143","2","2017/5/6","319","2017/5/6"
"10000841","184462","0","2017/5/4","267","2017/5/4"
"10000842","208055","1","2017/4/16","181","2017/4/16"
"10000843","71938","0","2017/4/8","178","2017/4/8"
"10000844","185843","2","2017/6/24","119","2017/6/24"
"10000845","68982","1","2017/4/14","205","2017/4/14"
"10000846","262218","2","2017/5/14","263","2017/5/14"
"10000847","129008","2","2017/4/22","343","2017/4/22"
"10000848","74953","2","2017/6/2","91","2017/6/2"
"10000849","46517","2","2017/6/5","338","2017/6/5"
"10000850","27911","0","2017/4/3","208","2017/4/3"
"10000851","20782","2","2017/6/8","231","2017/6/8"
"10000852","148518","1","2017/4/30","223","2017/4/30"
"10000853","265493","2","2017/6/26","210","2017/6/26"
"10000854","223700","0","2017/5/13","99","2017/5/13"
"10000855","181840","2","2017/5/31","290","2017/5/31"
"10000856","140696","2","2017/5/4","520","2017/5/4"
"10000857","118903","0","2017/4/17","67","2017/4/17"
"10000858","195629","0","2017/4/2","53","2017/4/2"
"10000859","117357","2","2017/5/26","285","2017/5/26"
"10000860","4030","0","2017/5/24","350","2017/5/24"
"10000861","217324","2","2017/6/28","124","2017/6/28"
"10000862","54475","2","2017/5/27","176","2017/5/27"
"10000863","208474","0","2017/6/30","318","2017/6/30"
"10000864","262139","1","2017/6/8","196","2017/6/8"
"10000865","103170","2","2017/5/11","127","2017/5/11"
"10000866","57781","1","2017/4/3","341","2017/4/3"
"10000867","243417","2","2017/4/4","187","2017/4/4"
"10000868","152101","0","2017/5/11","58","2017/5/11"
"10000869","13116","1","2017/5/30","253","2017/5/30"
"10000870","142750","2","2017/5/18","108","2017/5/18"
"10000871","183732","0","2017/6/5","232","2017/6/5"
"10000872","53467","0","2017/6/20","283","2017/6/20"
"10000873","191012","2","2017/5/23","74","2017/5/23"
"10000874","35720","2","2017/5/6","71","2017/5/6"
"10000875","67563","1","2017/6/7","317","2017/6/7"
"10000876","111459","0","2017/5/9","83","2017/5/9"
"10000877","277282","2","2017/5/14","189","2017/5/14"
"10000878","203651","1","2017/5/17","273","2017/5/17"
"10000879","361","2","2017/6/20","85","2017/6/20"
"10000880","251414","2","2017/5/19","400","2017/5/19"
"10000881","160571","1","2017/6/13","465","2017/6/13"
"10000882","220843","2","2017/5/29","107","2017/5/29"
"10000883","57131","2","2017/4/19","135","2017/4/19"
"10000884","38595","2","2017/5/7","50","2017/5/7"
"10000885","257859","2","2017/6/28","367","2017/6/28"
"10000886","149322","2","2017/5/5","143","2017/5/5"
"10000887","56333","2","2017/5/9","108","2017/5/9"
"10000888","52743","2","2017/6/11","248","2017/6/11"
"10000889","248070","2","2017/4/5","85","2017/4/5"
"10000890","273378","2","2017/4/24","395","2017/4/24"
"10000891","101165","2","2017/4/9","82","2017/4/9"
"10000892","28743","1","2017/6/16","518","2017/6/16"
"10000893","16483","2","2017/6/17","130","2017/6/17"
"10000894","84283","2","2017/5/8","209","2017/5/8"
"10000895","172083","1","2017/4/13","295","2017/4/13"
"10000896","227682","0","2017/5/14","114","2017/5/14"
"10000897","16449","2","2017/5/14","313","2017/5/14"
"10000898","102431","1","2017/6/21","263","2017/6/21"
"10000899","189397","1","2017/4/24","67","2017/4/24"
"10000900","221240","0","2017/6/15","100","2017/6/15"
"10000901","249313","2","2017/4/20","391","2017/4/20"
"10000902","275931","2","2017/4/23","191","2017/4/23"
"10000903","166630","0","2017/4/14","153","2017/4/14"
"10000904","49912","2","2017/6/4","223","2017/6/4"
"10000905","23643","2","2017/4/15","69","2017/4/15"
"10000906","25650","2","2017/4/9","146","2017/4/9"
"10000907","27418","2","2017/5/3","203","2017/5/3"
"10000908","197733","2","2017/6/21","337","2017/6/21"
"10000909","102000","2","2017/4/27","126","2017/4/27"
"10000910","52371","0","2017/6/20","108","2017/6/20"
"10000911","238552","0","2017/6/15","313","2017/6/15"
"10000912","187206","0","2017/5/11","140","2017/5/11"
"10000913","195401","2","2017/6/29","139","2017/6/29"
"10000914","51300","2","2017/5/17","289","2017/5/17"
"10000915","270079","1","2017/5/21","246","2017/5/21"
"10000916","52133","0","2017/4/2","339","2017/4/2"
"10000917","218482","2","2017/4/3","254","2017/4/3"
"10000918","152314","0","2017/6/23","184","2017/6/23"
"10000919","115734","1","2017/5/16","100","2017/5/16"
"10000920","244125","2","2017/5/12","314","2017/5/12"
"10000921","85678","2","2017/6/23","143","2017/6/23"
"10000922","67848","0","2017/4/2","113","2017/4/2"
"10000923","87512","2","2017/5/15","158","2017/5/15"
"10000924","160834","2","2017/5/25","334","2017/5/25"
"10000925","255230","2","2017/5/23","129","2017/5/23"
"10000926","105881","0","2017/5/9","191","2017/5/9"
"10000927","22663","1","2017/5/15","119","2017/5/15"
"10000928","17191","2","2017/6/9","400","2017/6/9"
"10000929","178802","1","2017/6/22","166","2017/6/22"
"10000930","274263","2","2017/6/4","382","2017/6/4"
"10000931","75352","0","2017/6/13","118","2017/6/13"
"10000932","95237","2","2017/4/28","193","2017/4/28"
"10000933","34246","2","2017/4/23","388","2017/4/23"
"10000934","15065","0","2017/6/9","181","2017/6/9"
"10000935","220125","2","2017/4/2","416","2017/4/2"
"10000936","243072","0","2017/4/7","310","2017/4/7"
"10000937","111514","1","2017/5/8","69","2017/5/8"
"10000938","22180","1","2017/5/9","191","2017/5/9"
"10000939","11047","0","2017/6/27","100","2017/6/27"
"10000940","75851","2","2017/5/3","214","2017/5/3"
"10000941","138634","2","2017/5/11","168","2017/5/11"
"10000942","223108","1","2017/5/24","254","2017/5/24"
"10000943","73699","0","2017/4/12","85","2017/4/12"
"10000944","192327","2","2017/4/14","200","2017/4/14"
"10000945","14946","2","2017/4/7","293","2017/4/7"
"10000946","239984","2","2017/6/14","60","2017/6/14"
"10000947","198229","0","2017/6/9","249","2017/6/9"
"10000948","260493","1","2017/5/17","167","2017/5/17"
"10000949","155486","1","2017/4/24","144","2017/4/24"
"10000950","206923","2","2017/6/30","208","2017/6/30"
"10000951","8139","1","2017/4/26","351","2017/4/26"
"10000952","199887","1","2017/5/5","501","2017/5/5"
"10000953","168713","1","2017/6/5","349","2017/6/5"
"10000954","76348","2","2017/5/15","374","2017/5/15"
"10000955","10206","1","2017/5/23","218","2017/5/23"
"10000956","225464","2","2017/4/6","108","2017/4/6"
"10000957","129894","2","2017/5/6","185","2017/5/6"
"10000958","39892","0","2017/5/29","108","2017/5/29"
"10000959","143839","2","2017/4/3","51","2017/4/3"
"10000960","43166","2","2017/5/8","131","2017/5/8"
"10000961","203954","1","2017/4/13","268","2017/4/13"
"10000962","8307","2","2017/5/24","80","2017/5/24"
"10000963","79061","2","2017/6/23","119","2017/6/23"
"10000964","44510","2","2017/4/24","187","2017/4/24"
"10000965","80648","1","2017/6/23","368","2017/6/23"
"10000966","49602","0","2017/5/4","125","2017/5/4"
"10000967","257765","0","2017/4/4","242","2017/4/4"
"10000968","271818","2","2017/5/22","101","2017/5/22"
"10000969","166882","0","2017/5/24","140","2017/5/24"
"10000970","127820","2","2017/6/24","108","2017/6/24"
"10000971","179022","2","2017/5/7","100","2017/5/7"
"10000972","196960","1","2017/6/21","191","2017/6/21"
"10000973","111106","1","2017/6/24","86","2017/6/24"
"10000974","171705","2","2017/4/16","63","2017/4/16"
"10000975","235602","1","2017/4/12","141","2017/4/12"
"10000976","267789","2","2017/6/18","127","2017/6/18"
"10000977","196959","2","2017/4/19","131","2017/4/19"
"10000978","261512","1","2017/5/17","198","2017/5/17"
"10000979","103397","1","2017/5/28","270","2017/5/28"
"10000980","179269","2","2017/6/18","110","2017/6/18"
"10000981","76585","0","2017/5/29","104","2017/5/29"
"10000982","26467","2","2017/5/1","125","2017/5/1"
"10000983","170060","2","2017/5/6","66","2017/5/6"
"10000984","234421","2","2017/6/21","378","2017/6/21"
"10000985","234610","1","2017/6/1","97","2017/6/1"
"10000986","239468","2","2017/6/26","257","2017/6/26"
"10000987","254036","2","2017/6/24","190","2017/6/24"
"10000988","232110","1","2017/6/9","230","2017/6/9"
"10000989","161308","2","2017/5/26","357","2017/5/26"
"10000990","62176","2","2017/4/3","112","2017/4/3"
"10000991","199212","1","2017/6/21","179","2017/6/21"
"10000992","104442","0","2017/4/17","113","2017/4/17"
"10000993","256044","2","2017/5/20","203","2017/5/20"
"10000994","167185","2","2017/4/13","80","2017/4/13"
"10000995","43925","2","2017/6/14","125","2017/6/14"
"10000996","43644","2","2017/5/24","277","2017/5/24"
"10000997","52698","0","2017/4/26","342","2017/4/26"
"10000998","249537","2","2017/6/24","121","2017/6/24"
"10000999","76143","2","2017/6/10","142","2017/6/10"
"10001000","277257","2","2017/5/22","396","2017/5/22"
"10001001","99212","2","2017/6/4","204","2017/6/4"
"10001002","97318","2","2017/4/28","50","2017/4/28"
"10001003","86701","2","2017/4/7","153","2017/4/7"
"10001004","202967","1","2017/4/22","85","2017/4/22"
"10001005","242311","0","2017/4/22","248","2017/4/22"
"10001006","24732","2","2017/6/15","370","2017/6/15"
"10001007","119589","0","2017/5/11","58","2017/5/11"
"10001008","138477","0","2017/6/8","184","2017/6/8"
"10001009","33190","0","2017/5/24","80","2017/5/24"
"10001010","24209","1","2017/4/8","125","2017/4/8"
"10001011","170883","2","2017/5/30","269","2017/5/30"
"10001012","266755","2","2017/4/29","241","2017/4/29"
"10001013","237949","0","2017/5/1","219","2017/5/1"
"10001014","64161","1","2017/5/14","206","2017/5/14"
"10001015","134246","2","2017/6/11","101","2017/6/11"
"10001016","45734","2","2017/4/7","108","2017/4/7"
"10001017","229244","1","2017/5/25","343","2017/5/25"
"10001018","15251","1","2017/6/30","129","2017/6/30"
"10001019","63933","0","2017/4/10","229","2017/4/10"
"10001020","201913","2","2017/5/7","297","2017/5/7"
"10001021","154010","2","2017/4/10","205","2017/4/10"
"10001022","130881","2","2017/6/8","84","2017/6/8"
"10001023","33716","0","2017/5/17","153","2017/5/17"
"10001024","113554","2","2017/6/6","141","2017/6/6"
"10001025","193314","1","2017/6/17","408","2017/6/17"
"10001026","270821","0","2017/5/27","162","2017/5/27"
"10001027","137129","1","2017/6/19","182","2017/6/19"
"10001028","33582","2","2017/5/24","131","2017/5/24"
"10001029","270102","2","2017/5/28","254","2017/5/28"
"10001030","167942","2","2017/6/20","262","2017/6/20"
"10001031","258704","2","2017/6/1","320","2017/6/1"
"10001032","230824","0","2017/4/14","119","2017/4/14"
"10001033","67686","1","2017/5/28","444","2017/5/28"
